No,PID,ItemID,Description,valid,Type,Unit,DP
1,SB_010200000000000001,SB_00ADA40CE001XQ08.PV,150kV SS (STG BAY) CUR R,1,DOUBLE,,
2,SB_010200000000000002,SB_00ADA40CE001XQ08-OUT.PV,150KV SS (STG BAY) CUR R,1,DOUBLE,DEG F,
3,SB_010200000000000003,SB_00ADA40CE001XQ09.PV,150kV SS (STG BAY) CUR S,1,DOUBLE,,
4,SB_010200000000000004,SB_00ADA40CE001XQ09-OUT.PV,150KV SS (STG BAY) CUR S,1,DOUBLE,DEG F,
5,SB_010200000000000005,SB_00ADA40CE001XQ10.PV,150kV SS (STG BAY) CUR T,1,DOUBLE,,
6,SB_010200000000000006,SB_00ADA40CE001XQ10-OUT.PV,150KV SS (STG BAY) CUR T,1,DOUBLE,DEG F,
7,SB_010200000000000007,SB_00ADA40CE005XQ14.PV,150kV SS (STG BAY) VLT R-S,1,DOUBLE,,
8,SB_010200000000000008,SB_00ADA40CE005XQ14-OUT.PV,150KV SS (STG BAY) VLT R-S,1,DOUBLE,DEG F,
9,SB_010200000000000009,SB_00ADA40CE005XQ15.PV,150kV SS (STG BAY) VLT S-T,1,DOUBLE,,
10,SB_010200000000000010,SB_00ADA40CE005XQ15-OUT.PV,150KV SS (STG BAY) VLT S-T,1,DOUBLE,DEG F,
11,SB_010200000000000011,SB_00ADA40CE005XQ16.PV,150kV SS (STG BAY) VLT T-R,1,DOUBLE,,
12,SB_010200000000000012,SB_00ADA40CE005XQ16-OUT.PV,150KV SS (STG BAY) VLT T-R,1,DOUBLE,DEG F,
13,SB_010200000000000013,SB_00ADA40CE100XB17-OUT.PV,150KV SS (STG BAY) WH (TO GRID),1,DOUBLE,,
14,SB_010200000000000014,SB_00ADA40CE100XQ20.PV,150kV SS (STG BAY) MW,1,DOUBLE,,
15,SB_010200000000000015,SB_00ADA40CE100XQ20-OUT.PV,150KV SS (STG BAY) WATT,1,DOUBLE,DEG F,
16,SB_010200000000000016,SB_00ADA40CE100XQ21.PV,150kV SS (STG BAY) VAR,1,DOUBLE,,
17,SB_010200000000000017,SB_00ADA40CE100XQ21-OUT.PV,150KV SS (STG BAY) VAR,1,DOUBLE,DEG F,
18,SB_010200000000000018,SB_00ADA40CE100XQ22.PV,150kV SS (STG BAY) FRQ,1,DOUBLE,,
19,SB_010200000000000019,SB_00ADA40CE100XQ22-OUT.PV,150KV SS (STG BAY) FREQUENCY,1,DOUBLE,DEG F,
20,SB_010200000000000020,SB_00ADA40CE100XQ23.PV,150kV SS (STG BAY) WH (FROM GRID),1,DOUBLE,,
21,SB_010200000000000021,SB_00ADA40CE100XQ23-OUT.PV,150KV SS (STG BAY) WH (FROM GRID),1,DOUBLE,DEG F,
22,SB_010200000000000022,SB_00ADA40CE100XQ24.PV,150kV SS (STG BAY) VARH (FROM GRID),1,DOUBLE,,
23,SB_010200000000000023,SB_00ADA40CE100XQ24-OUT.PV,150KV SS (STG BAY) VARH (FROM GRID),1,DOUBLE,DEG F,
24,SB_010200000000000024,SB_00ADA40CE100YQ01-OUT.PV,150KV SS (STG BAY) WH (TO GRID),1,DOUBLE,,
25,SB_010200000000000025,SB_00ADA40CE100ZQ01-OUT.PV,150kv SS (STG   BAY) WH SV PV,1,DOUBLE,,
26,SB_010200000000000026,SB_00ADA40CE100ZQ01-SAT.PV,150kv SS (STG   BAY) WH SV AUTO SV,1,DOUBLE,,
27,SB_010200000000000027,SB_00ADA40CE100ZQ01-SHV.PV,150kv SS (STG   BAY) WH SV HL SV,1,DOUBLE,,
28,SB_010200000000000028,SB_00ADA40CE100ZQ01-SLV.PV,150kv SS (STG   BAY) WH SV LL SV,1,DOUBLE,,
29,SB_010200000000000029,SB_00ADA40CE100ZQ01-SVS.PV,150kv SS (STG   BAY) WH SV SV,1,DOUBLE,,
30,SB_010200000000000030,SB_110101_DI03_STATUS.PV,110101_DI03_STATUS,0,DOUBLE,,
31,SB_010200000000000031,SB_110102_DI03_STATUS.PV,110102_DI03_STATUS,0,DOUBLE,,
32,SB_010200000000000032,SB_110103_DO01_STATUS.PV,110103_DO01_STATUS,0,DOUBLE,,
33,SB_010200000000000033,SB_110104_DI03_STATUS.PV,110104_DI03_STATUS,0,DOUBLE,,
34,SB_010200000000000034,SB_110105_DI03_STATUS.PV,110105_DI03_STATUS,0,DOUBLE,,
35,SB_010200000000000035,SB_110106_DO01_STATUS.PV,110106_DO01_STATUS,0,DOUBLE,,
36,SB_010200000000000036,SB_110107_DO01_STATUS.PV,110107_DO01_STATUS,0,DOUBLE,,
37,SB_010200000000000037,SB_110201_DI03_STATUS.PV,110201_DI03_STATUS,0,DOUBLE,,
38,SB_010200000000000038,SB_110202_DI03_STATUS.PV,110202_DI03_STATUS,0,DOUBLE,,
39,SB_010200000000000039,SB_110203_DO01_STATUS.PV,110203_DO01_STATUS,0,DOUBLE,,
40,SB_010200000000000040,SB_110204_DI03_STATUS.PV,110204_DI03_STATUS,0,DOUBLE,,
