No,PID,ItemID,Description,Type,Unit,DP,disp_lower,disp_upper,dcsTagNo,valid,sufixx,org_TagNo(cut SB_/.PVor.OUT),-suffix,"follows are 0,_STATUS or SPARE_ or _SPARE or _STS or -SP-",raw&exist -OUT=0,not in ABJ=0.(vlookup ABJ_DCS_IO)
1,SB_010200000000000001,SB_00ADA40CE001XQ08.PV,150kV SS (STG BAY) CUR R,DOUBLE,,,0,100,00ADA40CE001XQ08,0,.PV,00ADA40CE001XQ08,,00ADA40CE001XQ08,0,00ADA40CE001XQ08
2,SB_010200000000000002,SB_00ADA40CE001XQ08-OUT.PV,150KV SS (STG BAY) CUR R,DOUBLE,DEG F,,0,100,00ADA40CE001XQ08-OUT,1,.PV,00ADA40CE001XQ08-OUT,-OUT,00ADA40CE001XQ08-OUT,1,00ADA40CE001XQ08-OUT
3,SB_010200000000000003,SB_00ADA40CE001XQ09.PV,150kV SS (STG BAY) CUR S,DOUBLE,,,0,100,00ADA40CE001XQ09,0,.PV,00ADA40CE001XQ09,,00ADA40CE001XQ09,0,00ADA40CE001XQ09
4,SB_010200000000000004,SB_00ADA40CE001XQ09-OUT.PV,150KV SS (STG BAY) CUR S,DOUBLE,DEG F,,0,100,00ADA40CE001XQ09-OUT,1,.PV,00ADA40CE001XQ09-OUT,-OUT,00ADA40CE001XQ09-OUT,1,00ADA40CE001XQ09-OUT
5,SB_010200000000000005,SB_00ADA40CE001XQ10.PV,150kV SS (STG BAY) CUR T,DOUBLE,,,0,100,00ADA40CE001XQ10,0,.PV,00ADA40CE001XQ10,,00ADA40CE001XQ10,0,00ADA40CE001XQ10
6,SB_010200000000000006,SB_00ADA40CE001XQ10-OUT.PV,150KV SS (STG BAY) CUR T,DOUBLE,DEG F,,0,100,00ADA40CE001XQ10-OUT,1,.PV,00ADA40CE001XQ10-OUT,-OUT,00ADA40CE001XQ10-OUT,1,00ADA40CE001XQ10-OUT
7,SB_010200000000000007,SB_00ADA40CE005XQ14.PV,150kV SS (STG BAY) VLT R-S,DOUBLE,,,0,100,00ADA40CE005XQ14,0,.PV,00ADA40CE005XQ14,,00ADA40CE005XQ14,0,00ADA40CE005XQ14
8,SB_010200000000000008,SB_00ADA40CE005XQ14-OUT.PV,150KV SS (STG BAY) VLT R-S,DOUBLE,DEG F,,0,100,00ADA40CE005XQ14-OUT,1,.PV,00ADA40CE005XQ14-OUT,-OUT,00ADA40CE005XQ14-OUT,1,00ADA40CE005XQ14-OUT
9,SB_010200000000000009,SB_00ADA40CE005XQ15.PV,150kV SS (STG BAY) VLT S-T,DOUBLE,,,0,100,00ADA40CE005XQ15,0,.PV,00ADA40CE005XQ15,,00ADA40CE005XQ15,0,00ADA40CE005XQ15
10,SB_010200000000000010,SB_00ADA40CE005XQ15-OUT.PV,150KV SS (STG BAY) VLT S-T,DOUBLE,DEG F,,0,100,00ADA40CE005XQ15-OUT,1,.PV,00ADA40CE005XQ15-OUT,-OUT,00ADA40CE005XQ15-OUT,1,00ADA40CE005XQ15-OUT
11,SB_010200000000000011,SB_00ADA40CE005XQ16.PV,150kV SS (STG BAY) VLT T-R,DOUBLE,,,0,100,00ADA40CE005XQ16,0,.PV,00ADA40CE005XQ16,,00ADA40CE005XQ16,0,00ADA40CE005XQ16
12,SB_010200000000000012,SB_00ADA40CE005XQ16-OUT.PV,150KV SS (STG BAY) VLT T-R,DOUBLE,DEG F,,0,100,00ADA40CE005XQ16-OUT,1,.PV,00ADA40CE005XQ16-OUT,-OUT,00ADA40CE005XQ16-OUT,1,00ADA40CE005XQ16-OUT
13,SB_010200000000000013,SB_00ADA40CE100XB17-OUT.PV,150KV SS (STG BAY) WH (TO GRID),DOUBLE,,,0,100,00ADA40CE100XB17-OUT,0,.PV,00ADA40CE100XB17-OUT,-OUT,00ADA40CE100XB17-OUT,0,00ADA40CE100XB17-OUT
14,SB_010200000000000014,SB_00ADA40CE100XQ20.PV,150kV SS (STG BAY) MW,DOUBLE,,,0,100,00ADA40CE100XQ20,0,.PV,00ADA40CE100XQ20,,00ADA40CE100XQ20,0,00ADA40CE100XQ20
15,SB_010200000000000015,SB_00ADA40CE100XQ20-OUT.PV,150KV SS (STG BAY) WATT,DOUBLE,DEG F,,0,100,00ADA40CE100XQ20-OUT,1,.PV,00ADA40CE100XQ20-OUT,-OUT,00ADA40CE100XQ20-OUT,1,00ADA40CE100XQ20-OUT
16,SB_010200000000000016,SB_00ADA40CE100XQ21.PV,150kV SS (STG BAY) VAR,DOUBLE,,,0,100,00ADA40CE100XQ21,0,.PV,00ADA40CE100XQ21,,00ADA40CE100XQ21,0,00ADA40CE100XQ21
17,SB_010200000000000017,SB_00ADA40CE100XQ21-OUT.PV,150KV SS (STG BAY) VAR,DOUBLE,DEG F,,0,100,00ADA40CE100XQ21-OUT,1,.PV,00ADA40CE100XQ21-OUT,-OUT,00ADA40CE100XQ21-OUT,1,00ADA40CE100XQ21-OUT
18,SB_010200000000000018,SB_00ADA40CE100XQ22.PV,150kV SS (STG BAY) FRQ,DOUBLE,,,0,100,00ADA40CE100XQ22,0,.PV,00ADA40CE100XQ22,,00ADA40CE100XQ22,0,00ADA40CE100XQ22
19,SB_010200000000000019,SB_00ADA40CE100XQ22-OUT.PV,150KV SS (STG BAY) FREQUENCY,DOUBLE,DEG F,,0,100,00ADA40CE100XQ22-OUT,1,.PV,00ADA40CE100XQ22-OUT,-OUT,00ADA40CE100XQ22-OUT,1,00ADA40CE100XQ22-OUT
20,SB_010200000000000020,SB_00ADA40CE100XQ23.PV,150kV SS (STG BAY) WH (FROM GRID),DOUBLE,,,0,100,00ADA40CE100XQ23,0,.PV,00ADA40CE100XQ23,,00ADA40CE100XQ23,0,00ADA40CE100XQ23
21,SB_010200000000000021,SB_00ADA40CE100XQ23-OUT.PV,150KV SS (STG BAY) WH (FROM GRID),DOUBLE,DEG F,,0,100,00ADA40CE100XQ23-OUT,1,.PV,00ADA40CE100XQ23-OUT,-OUT,00ADA40CE100XQ23-OUT,1,00ADA40CE100XQ23-OUT
22,SB_010200000000000022,SB_00ADA40CE100XQ24.PV,150kV SS (STG BAY) VARH (FROM GRID),DOUBLE,,,0,100,00ADA40CE100XQ24,0,.PV,00ADA40CE100XQ24,,00ADA40CE100XQ24,0,00ADA40CE100XQ24
23,SB_010200000000000023,SB_00ADA40CE100XQ24-OUT.PV,150KV SS (STG BAY) VARH (FROM GRID),DOUBLE,DEG F,,0,100,00ADA40CE100XQ24-OUT,1,.PV,00ADA40CE100XQ24-OUT,-OUT,00ADA40CE100XQ24-OUT,1,00ADA40CE100XQ24-OUT
24,SB_010200000000000024,SB_00ADA40CE100YQ01-OUT.PV,150KV SS (STG BAY) WH (TO GRID),DOUBLE,,,0,100,00ADA40CE100YQ01-OUT,0,.PV,00ADA40CE100YQ01-OUT,-OUT,00ADA40CE100YQ01-OUT,0,00ADA40CE100YQ01-OUT
25,SB_010200000000000025,SB_00ADA40CE100ZQ01-OUT.PV,150kv SS (STG   BAY) WH SV PV,DOUBLE,,,0,100,00ADA40CE100ZQ01-OUT,0,.PV,00ADA40CE100ZQ01-OUT,-OUT,00ADA40CE100ZQ01-OUT,0,00ADA40CE100ZQ01-OUT
26,SB_010200000000000026,SB_00ADA40CE100ZQ01-SAT.PV,150kv SS (STG   BAY) WH SV AUTO SV,DOUBLE,,,0,100,00ADA40CE100ZQ01-SAT,1,.PV,00ADA40CE100ZQ01-SAT,-SAT,00ADA40CE100ZQ01-SAT,-1,00ADA40CE100ZQ01-SAT
27,SB_010200000000000027,SB_00ADA40CE100ZQ01-SHV.PV,150kv SS (STG   BAY) WH SV HL SV,DOUBLE,,,0,100,00ADA40CE100ZQ01-SHV,1,.PV,00ADA40CE100ZQ01-SHV,-SHV,00ADA40CE100ZQ01-SHV,-1,00ADA40CE100ZQ01-SHV
28,SB_010200000000000028,SB_00ADA40CE100ZQ01-SLV.PV,150kv SS (STG   BAY) WH SV LL SV,DOUBLE,,,0,100,00ADA40CE100ZQ01-SLV,1,.PV,00ADA40CE100ZQ01-SLV,-SLV,00ADA40CE100ZQ01-SLV,-1,00ADA40CE100ZQ01-SLV
