i_connect_no,i_site_code,i_unit_num,i_giku_num,c_tag_no,c_tag_desc,c_category1,c_category2,c_category3,d_disp_range_lower,d_disp_range_upper,c_unit,i_decimal_place,i_signal_type,c_unit2,d_cnv1,d_cnv2,i_cdbi,c_point_id,c_retu text,i_off_set,i_kind_num,i_auto_flag,d_dead_band,i_xid bigint
1,1,2,0,SB_00ADA40CE100XQ23-OUT,150KV SS (STG BAY) WH (FROM FRID),-99,23,,0,100,MWh,2,0,,1,1,1,SB_010200000000000001,data0,0,0,1,0.001,1
1,1,2,0,SB_00ADA40CE100XQ24-OUT,150KV SS (STG BAY) VARH (FROM FRID),-99,23,,0,100,MVARh,2,0,,1,1,2,SB_010200000000000002,data1,0,0,1,0.001,2
1,1,2,0,SB_00ADA40CE100ZQ01-SVS,150kv SS (STG BAY) WH SV SV,-99,,,0,100,,2,0,,1,1,3,SB_010200000000000003,data2,0,0,1,0.001,3
1,1,2,0,SB_00ADA40CE100ZQ01-SHV,150kv SS (STG BAY) WH SV HL SV,-99,7,,0,100,MW,2,0,,1,1,4,SB_010200000000000004,data3,0,0,1,0.001,4
1,1,2,0,SB_00ADA40CE100ZQ01-SLV,150kv SS (STG BAY) WH SV LL SV,-99,7,,0,100,MW,2,0,,1,1,5,SB_010200000000000005,data4,0,0,1,0.001,5
1,1,2,0,SB_00ADA40CE100ZQ01-OUT,150kv SS (STG BAY) WH SV PV,-99,,,0,100,,2,0,,1,1,6,SB_010200000000000006,data5,0,0,1,0.001,6
1,1,2,0,SB_30BBT10FE901,Aux Power,-99,7,,0,100,MW,2,0,,1,1,7,SB_010200000000000007,data6,0,0,1,0.001,7
1,1,2,0,SB_30BBT10GT200-POS,6.0KV SWGR INCM CB POS,-99,,,0,100,,0,0,,1,1,8,SB_010200000000000008,data7,0,0,1,0,8
1,1,2,0,SB_30BFT10GT100-POS,6.0KV SWGR OUTG UNIT TR-A CB POS,-99,,,0,100,,0,0,,1,1,9,SB_010200000000000009,data8,0,0,1,0,9
1,1,2,0,SB_30BFT20GT100-POS,6.0KV SWGR OUTG UNIT TR-B CB POS,-99,,,0,100,,0,0,,1,1,10,SB_010200000000000010,data9,0,0,1,0,10
1,1,2,0,SB_30BFU10GT100-POS,6.0KV SWGR OUTG WTP TR-A CB POS,-99,,,0,100,,0,0,,1,1,11,SB_010200000000000011,data10,0,0,1,0,11
1,1,2,0,SB_30BFU20GT100-POS,6.0KV SWGR OUTG WTP TR-B CB POS,-99,,,0,100,,0,0,,1,1,12,SB_010200000000000012,data11,0,0,1,0,12
1,1,2,0,SB_30BFV10GT100-POS,6.0KV SWGR OUTG ESS TR-A CB POS,-99,,,0,100,,0,0,,1,1,13,SB_010200000000000013,data12,0,0,1,0,13
1,1,2,0,SB_30BFV20GT100-POS,6.0KV SWGR OUTG ESS TR-B CB POS,-99,,,0,100,,0,0,,1,1,14,SB_010200000000000014,data13,0,0,1,0,14
1,1,2,0,SB_30BGT10GT100-POS,6.0KV SWGR OUTG INTK TR-A CB POS,-99,,,0,100,,0,0,,1,1,15,SB_010200000000000015,data14,0,0,1,0,15
1,1,2,0,SB_30BGT20GT100-POS,6.0KV SWGR OUTG INTK TR-B CB POS,-99,,,0,100,,0,0,,1,1,16,SB_010200000000000016,data15,0,0,1,0,16
1,1,2,0,SB_30BGU10GT100-POS,6.0KV SWGR OUTG CHP TR-A CB POS,-99,,,0,100,,0,0,,1,1,17,SB_010200000000000017,data16,0,0,1,0,17
1,1,2,0,SB_30BFT10GT200-POS,400V UNIT SWGR INCM TR-A CB POS,-99,,,0,100,,0,0,,1,1,18,SB_010200000000000018,data17,0,0,1,0,18
1,1,2,0,SB_30BFT20GT200-POS,400V UNIT SWGR INCM TR-B CB POS,-99,,,0,100,,0,0,,1,1,19,SB_010200000000000019,data18,0,0,1,0,19
1,1,2,0,SB_30BFB00GS100-POS,400V UNIT SWGR TIE CB POS,-99,,,0,100,,0,0,,1,1,20,SB_010200000000000020,data19,0,0,1,0,20
1,1,2,0,SB_30BFV10GT200-POS,400V ESS SWGR INCM TR-A CB POS,-99,,,0,100,,0,0,,1,1,21,SB_010200000000000021,data20,0,0,1,0,21
1,1,2,0,SB_30BFV20GT200-POS,400V ESS SWGR INCM TR-B CB POS,-99,,,0,100,,0,0,,1,1,22,SB_010200000000000022,data21,0,0,1,0,22
1,1,2,0,SB_30BGT10GT200-POS,400V INTK SWGR INCM TR-A CB POS,-99,,,0,100,,0,0,,1,1,23,SB_010200000000000023,data22,0,0,1,0,23
