Trend,2020112164.csv,2020/11/22,14:02:46
,TagNo,Description,Unit,Dp
1025,C50_HC_PC_ET,C50 HC800 PREVIOUS CYCLE ELAPSE,,
1026,C50_HC_PROC_UT,C50 HC800 PROCESSOR UTILISATION,,
1027,C60_HC_CC_ET,C60 HC800 CURRENT CYCLE ELAPSE TIME,,
1028,C60_HC_FREETIME,C60 HC800 FREETIME,,
1029,C60_HC_PC_ET,C60 HC800 PREVIOUS CYCLE ELAPSE TIME,,
1030,C60_HC_PROC_UT,C60 HC800 PROCESSOR UTILISATION,,
1031,C70_HC_CC_ET,C70 HC800 CURRENT CYCLE ELAPSE TIME,,
1032,C70_HC_FREETIME,C70 HC800 FREETIME,,
1033,C70_HC_PC_ET,C70 HC800 PREVIOUS CYCLE ELAPSE TIME,,
1034,C70_HC_PROC_UT,C70 HC800 PROCESSOR UTILISATION,,
1035,C80_HC_CC_ET,C80 HC800 CURRENT CYCLE ELAPSE T,,
1036,C80_HC_FREETIME,C80 HC800 FREETIME,,
1037,C80_HC_PC_ET,C80 HC800 PREVIOUS CYCLE ELAPSE,,
1038,C80_HC_PROC_UT,C80 HC800 PROCESSOR UTILISATION,,
1039,C90_HC_CC_ET,C90 HC800 CURRENT CYCLE ELAPSE TIME,,
1040,C90_HC_FREETIME,C90 HC800 FREETIME,,

Date,Time,1025,1026,1027,1028,1029,1030,1031,1032,1033,1034,1035,1036,1037,1038,1039,1040
2020/11/21,05:00:00,0.0006536535220220685,0.19672183692455292,0.003252907656133175,100,0.004538881126791239,1.3286973237991333,0.0019788804929703474,100,0.0019788804929703474,0.9454935789108276,0.0012797159142792225,100,0.0015075559495016932,0.5328214764595032,0.0021742938552051783,100
2020/11/21,05:00:10,0.0006536535220220685,0.2019556164741516,0.003252907656133175,100,0.004538881126791239,1.1852234601974487,0.0019788804929703474,100,0.0019788804929703474,0.7431966662406921,0.0012797159142792225,100,0.0015075559495016932,0.48401081562042236,0.0021742938552051783,100
2020/11/21,05:00:20,0.0006536535220220685,0.2019556164741516,0.003252907656133175,100,0.004538881126791239,2.1550655364990234,0.0019788804929703474,100,0.0019788804929703474,0.9627878069877625,0.0012797159142792225,100,0.0015075559495016932,1.0588163137435913,0.0021742938552051783,100
2020/11/21,05:00:30,0.0006536535220220685,0.28728896379470825,0.0023222051095217466,100,0.0037981877103447914,0.9549371600151062,0.0019788804929703474,100,0.0019788804929703474,0.3951503336429596,0.0012797159142792225,100,0.0015075559495016932,1.0588163137435913,0.0021742938552051783,100
2020/11/21,05:00:40,0.0006536535220220685,0.28728896379470825,0.0023222051095217466,100,0.0037981877103447914,0.9549371600151062,0.0019788804929703474,100,0.0019788804929703474,0.8100979924201965,0.0012797159142792225,100,0.0015075559495016932,1.0588163137435913,0.0023076983634382486,100
2020/11/21,05:00:50,0.0006536535220220685,0.28728896379470825,0.0023222051095217466,100,0.0037981877103447914,1.102165699005127,0.0014913426712155342,100,0.0014913426712155342,0.8100979924201965,0.0012797159142792225,100,0.0015075559495016932,1.0588163137435913,0.0023076983634382486,100
2020/11/21,05:01:00,0.0011468803277239203,0.27864184975624084,0.0023222051095217466,100,0.0037981877103447914,0.6770917773246765,0.0014913426712155342,100,0.0014913426712155342,0.8100979924201965,0.001702969428151846,100,0.002808036282658577,0.6019983887672424,0.0023076983634382486,100
2020/11/21,05:01:10,0.0011468803277239203,0.30845165252685547,0.0023222051095217466,100,0.0037981877103447914,1.2049070596694946,0.0014913426712155342,100,0.0014913426712155342,0.8314882516860962,0.001702969428151846,100,0.002808036282658577,0.574805498123169,0.0023076983634382486,100
2020/11/21,05:01:20,0.0011468803277239203,0.30845165252685547,0.0023222051095217466,100,0.0037981877103447914,1.3795559406280518,0.0014913426712155342,100,0.0014913426712155342,1.0624572038650513,0.001702969428151846,100,0.002808036282658577,0.5046045780181885,0.0023076983634382486,100
2020/11/21,05:01:30,0.0011468803277239203,0.30845165252685547,0.01404416374862194,100,0.00316273863427341,1.8782440423965454,0.0014913426712155342,100,0.0014913426712155342,0.8022473454475403,0.001702969428151846,100,0.002808036282658577,1.8561712503433228,0.0023076983634382486,100
2020/11/21,05:01:40,0.0011468803277239203,0.5146170258522034,0.01404416374862194,100,0.00316273863427341,1.3045763969421387,0.0014913426712155342,100,0.0014913426712155342,0.8723344802856445,0.001702969428151846,100,0.002808036282658577,0.3252907693386078,0.00182129826862365,100
2020/11/21,05:01:50,0.0011468803277239203,0.5146170258522034,0.01404416374862194,100,0.00316273863427341,1.3466742038726807,0.0022018849849700928,100,0.0022018849849700928,0.8211344480514526,0.001702969428151846,100,0.002808036282658577,0.3252907693386078,0.00182129826862365,100
2020/11/21,05:02:00,0.000852480239700526,0.5146170258522034,0.01404416374862194,100,0.00316273863427341,0.6403415203094482,0.0022018849849700928,100,0.0022018849849700928,0.8211344480514526,0.0008692624978721142,100,0.0010760535951703787,0.3252907693386078,0.00182129826862365,100
2020/11/21,05:02:10,0.000852480239700526,0.5146170258522034,0.01404416374862194,100,0.00316273863427341,1.4125515222549438,0.0022018849849700928,100,0.0022018849849700928,0.8211344480514526,0.0008692624978721142,100,0.0010760535951703787,0.3252907693386078,0.00182129826862365,100
2020/11/21,05:02:20,0.000852480239700526,0.5146170258522034,0.01404416374862194,100,0.00316273863427341,0.9897531867027283,0.0022018849849700928,100,0.0022018849849700928,0.8244340419769287,0.0008692624978721142,100,0.0010760535951703787,0.585841953754425,0.00182129826862365,100
2020/11/21,05:02:30,0.000852480239700526,0.5146170258522034,0.0037370321806520224,100,0.004453547764569521,1.2294830083847046,0.0022018849849700928,100,0.0022018849849700928,0.7264713048934937,0.0008692624978721142,100,0.0010760535951703787,0.529977023601532,0.00182129826862365,100
2020/11/21,05:02:40,0.000852480239700526,0.3095894157886505,0.0037370321806520224,100,0.004453547764569521,1.0497140884399414,0.0022018849849700928,100,0.0022018849849700928,0.7264713048934937,0.0008692624978721142,100,0.0010760535951703787,0.529977023601532,0.0023685696069151163,100
2020/11/21,05:02:50,0.000852480239700526,0.3095894157886505,0.0037370321806520224,100,0.004453547764569521,1.4133479595184326,0.0013639115495607257,100,0.0013639115495607257,0.7198721766471863,0.0008692624978721142,100,0.0010760535951703787,0.529977023601532,0.0023685696069151163,100
2020/11/21,05:03:00,0.0006334579666145146,0.3095894157886505,0.0037370321806520224,100,0.004453547764569521,1.4546493291854858,0.0013639115495607257,100,0.0013639115495607257,0.35623833537101746,0.0006764091085642576,100,0.001023715827614069,0.529977023601532,0.0023685696069151163,100
2020/11/21,05:03:10,0.0006334579666145146,0.3095894157886505,0.0037370321806520224,100,0.004453547764569521,1.5864039659500122,0.0013639115495607257,100,0.0013639115495607257,0.8673282265663147,0.0006764091085642576,100,0.001023715827614069,0.529977023601532,0.0023685696069151163,100
2020/11/21,05:03:20,0.0006334579666145146,0.3095894157886505,0.0037370321806520224,100,0.004453547764569521,1.2985461950302124,0.0013639115495607257,100,0.0013639115495607257,0.8673282265663147,0.0006764091085642576,100,0.001023715827614069,0.529977023601532,0.0023685696069151163,100
2020/11/21,05:03:30,0.0006334579666145146,0.3095894157886505,0.0037370321806520224,100,0.004453547764569521,1.7282849550247192,0.0013639115495607257,100,0.0013639115495607257,0.690972626209259,0.0006764091085642576,100,0.001023715827614069,0.529977023601532,0.0023685696069151163,100
2020/11/21,05:03:40,0.0006334579666145146,0.2172018438577652,0.0020551118068397045,100,0.002163769444450736,1.3129959106445312,0.0013639115495607257,100,0.0013639115495607257,0.7616286873817444,0.0006764091085642576,100,0.001023715827614069,0.7332980036735535,0.0023685696069151163,100
2020/11/21,05:03:50,0.0006334579666145146,0.2172018438577652,0.0020551118068397045,100,0.002163769444450736,1.2950190305709839,0.0013639115495607257,100,0.0013639115495607257,0.7616286873817444,0.0006764091085642576,100,0.001023715827614069,0.7332980036735535,0.0013838226441293955,100
2020/11/21,05:04:00,0.00046563567593693733,0.2172018438577652,0.0020551118068397045,100,0.002163769444450736,1.6693480014801025,0.0021236627362668514,100,0.0021236627362668514,1.091129183769226,0.0006764091085642576,100,0.001023715827614069,0.7332980036735535,0.0013838226441293955,100
2020/11/21,05:04:10,0.00046563567593693733,0.40925878286361694,0.0020551118068397045,100,0.002163769444450736,2.0693907737731934,0.0021236627362668514,100,0.0021236627362668514,1.091129183769226,0.0010515913600102067,100,0.0013573692413046956,0.5008499026298523,0.0013838226441293955,100
2020/11/21,05:04:20,0.00046563567593693733,0.40925878286361694,0.0020551118068397045,100,0.002163769444450736,1.2586101293563843,0.0021236627362668514,100,0.0021236627362668514,1.091129183769226,0.0010515913600102067,100,0.0013573692413046956,0.5008499026298523,0.0013838226441293955,100
